electrode,voltage_V
3,-0.04911342542150126
4,-0.27192049660736556
5,-0.6217813767471194
6,-0.25748904959763835
7,-0.07063855882647313
8,-0.02460615246770659
9,-0.010663181254756094
10,-0.005284966702424648
11,-0.003015115900779647
12,0.41089726131856963
15,-0.40920477103268094
16,0.07780717726463955
17,0.26278666356386343
18,0.6231655981895171
19,0.26797884606987227
21,0.054388327255604225
22,0.01725477165435581
23,0.00753020781847089
24,0.00396008423287343
25,0.0022737989064080485
