electrode,voltage_V
3,-0.1995480525085961
4,0.09290390765183933
5,-0.005779292560806857
6,-0.11433646183669338
7,0.1653776327290905
8,0.09075002112243499
9,0.047159380913407864
10,0.025937793790442636
11,0.017499575199450487
12,-0.001753378861499587
15,-0.001751804770839592
16,-0.19950531315641176
17,0.09275691575708489
18,-0.005666534100513221
19,-0.11439895474639786
21,0.16512260540340545
22,0.09100486120225211
23,0.04659847892380186
24,0.02581674197666012
25,0.016662061234522425
